psu,state,locality,latitude,longitude,pop
19668,10,83,13.8953557271176,32.1917735091471,350
19347,10,80,12.2209089605455,32.3403134230606,275
19824,10,82,12.3025614354375,32.8383854699687,200
19364,10,80,12.3886048340323,32.1425938091935,150
19033,10,84,14.3854116345714,31.8613391013214,500
19350,10,80,12.2765195755455,32.2405884751515,100
19411,10,80,12.3807232290667,32.3471122167333,170
19338,10,80,12.0987953143333,32.629752284875,225
18840,10,79,12.7520414214138,32.0830149853103,320
5107112,11,86,13.2096728251935,30.1905866011935,11100
5107106,11,86,13.1727496338438,30.19209500325,9342
5107113,11,86,13.2182271862258,30.217766885129,8178
10944,11,92,14.2829722407273,28.5445446523333,8000
11610,11,87,13.0908977544828,31.0067429915172,6000
13820,11,87,13.2338165930937,31.6545535539063,6000
11016,11,90,13.8498462911935,31.0425867427419,5230
11670,11,87,13.0951112586452,30.8324160178065,5000
11169,11,90,13.7046189358333,30.3709066425833,4800
11097,11,90,14.0388087743429,30.4284009074286,4000
12141,11,86,13.2301850431212,30.2153186878485,3000
11677,11,87,13.2538660438125,30.98974886425,3000
11019,11,90,13.7742183108966,31.452629793931,3190
11046,11,90,14.2271964218824,31.1130919644118,3000
5107102,11,86,13.1314384644375,30.2167021259062,3000
11133,11,91,14.2569965280937,29.6196858936875,3000
12313,11,92,14.3667103424571,27.2733251631714,3000
11055,11,90,14.4023593101176,31.1802878339118,2850
5107103,11,86,13.1484835788333,30.2050529572,2700
11985,11,86,13.214417237697,30.3035615568485,2520
11767,11,88,13.8854342079394,30.8536785721515,2400
12358,11,93,14.58548034775,30.7436448511563,2400
11704,11,87,12.9045416686452,31.2369002533226,2310
11551,11,87,12.7126526212222,30.967241567,2250
11512,11,86,13.2110772245333,29.8917186026667,2750
11948,11,86,13.5692887371765,29.9496912767941,2275
10943,11,92,14.3871403591,28.849140288,2100
10950,11,92,14.5068997181935,29.516489916871,2100
10877,11,93,14.7084901629118,30.3803030032059,2100
11690,11,87,13.428205243875,30.77152882525,2000
10922,11,93,14.7604471683438,31.1322487389375,2000
10984,11,92,15.4261779345676,27.828479195,2000
11376,11,87,13.2090429131429,31.4658695590571,3060
11565,11,87,12.9063179341818,31.4473373219697,1800
11770,11,88,13.9085873532353,30.6658042738529,2160
11999,11,86,13.0872042582059,30.2294224850294,1800
11737,11,88,13.6935695902571,31.1157877223429,2160
5107101,11,86,13.1320113818125,30.189826716125,1560
11846,11,88,13.3569158547187,30.6282358915938,1768
11368,11,87,13.5771153679677,31.3667510016129,1500
11138,11,90,13.9075742598438,30.0812749518125,1500
12071,11,86,13.1177293717059,29.6243299947059,1410
12266,11,91,13.903105111125,29.3310875345,1300
5107105,11,86,13.1593710615938,30.25401535275,1260
11157,11,91,13.9078334741818,29.9013970024545,1260
11956,11,86,13.5869332171212,30.0798730195152,1200
11589,11,87,12.9340607495588,30.8991598991471,1450
13818,11,87,13.4393277911786,30.9734251432857,1850
10844,11,93,14.869757158,29.9541590662581,1200
12327,11,92,15.8236564198824,28.7271246553529,1200
10979,11,92,14.7238716758387,27.3759527789677,1200
10994,11,92,14.6270866366061,27.9780527102424,1200
11241,11,91,13.4359911986667,29.4481690255333,1011
11807,11,88,13.5856226836452,30.5050575732581,1000
11630,11,87,13.0642808397742,31.1453352923871,1000
11017,11,90,13.7888648992941,31.2725110495882,1300
11786,11,88,14.0383840268125,30.5925963510937,950
11858,11,88,13.6997413993636,30.7740684697879,900
